buffer,tau_max,min_tau,exit_rule,cooldown,n_trades,n_markets,total_pnl,mean_pnl_per_market,std_pnl_per_market,t_stat,hit_rate_market,hit_rate_trade,avg_trades_per_market,avg_hold_time
0.025,600,60,expiry,30,195,11,34.2,3.1090909090909107,5.3112361170361355,1.9414855143577803,0.7272727272727273,0.6923076923076923,17.727272727272727,326.0051282051282
0.03,300,0,expiry,30,110,11,26.66,2.423636363636364,2.3328663601984263,3.4456720640266196,0.8181818181818182,0.7454545454545455,10.0,163.14545454545456
0.03,300,30,expiry,30,107,11,25.69,2.3354545454545454,2.3096379094410606,3.3536973092363476,0.8181818181818182,0.7383177570093458,9.727272727272727,167.0841121495327
0.03,300,60,expiry,30,96,11,22.960000000000004,2.087272727272728,2.1101378671029574,3.2806863378124875,0.8181818181818182,0.7291666666666666,8.727272727272727,182.15625
0.03,420,0,expiry,30,150,11,33.0,3.0,3.4550137481636742,2.8798364048057747,0.8181818181818182,0.74,13.636363636363637,219.20666666666668
0.03,420,30,expiry,30,145,11,31.35,2.85,3.4456349197208924,2.7432914028159905,0.8181818181818182,0.7310344827586207,13.181818181818182,225.93103448275863
0.03,420,60,expiry,30,135,11,29.240000000000006,2.658181818181818,3.3043420470097167,2.668062685408755,0.8181818181818182,0.725925925925926,12.272727272727273,239.71851851851852
0.03,600,0,expiry,30,209,11,40.59,3.6900000000000004,5.262140248986148,2.3257353277061323,0.7272727272727273,0.722488038277512,19.0,304.74162679425837
0.03,600,30,expiry,30,204,11,38.730000000000004,3.5209090909090914,5.259253662917305,2.2203786171856303,0.7272727272727273,0.7156862745098039,18.545454545454547,311.7156862745098
0.03,600,60,expiry,30,194,11,36.790000000000006,3.344545454545455,5.133451789266874,2.1608467016693456,0.7272727272727273,0.711340206185567,17.636363636363637,325.83505154639175
