timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed,collected_at
2026-01-06T03:35:02+00:00,03:35:02,BTC,93895.631,93889.07,93896.3,dom,1,2026-01-06T03:37:22.929654+00:00
2026-01-06T03:35:03+00:00,03:35:03,BTC,93896.831,93891.54,93900.02,dom,1,2026-01-06T03:37:23.950331+00:00
2026-01-06T03:35:04+00:00,03:35:04,BTC,93896.051,93890.55,93897.39,dom,1,2026-01-06T03:37:24.961997+00:00
2026-01-06T03:35:05+00:00,03:35:05,BTC,93896.231,93890.57,93897.7,dom,1,2026-01-06T03:37:25.979298+00:00
2026-01-06T03:35:06+00:00,03:35:06,BTC,93896.231,93890.57,93897.7,dom,1,2026-01-06T03:37:26.995536+00:00
2026-01-06T03:35:07+00:00,03:35:07,BTC,93895.431,93889.91,93897.31,dom,1,2026-01-06T03:37:27.993353+00:00
2026-01-06T03:35:08+00:00,03:35:08,BTC,93895.221,93889.87,93897.15,dom,1,2026-01-06T03:37:29.012585+00:00
2026-01-06T03:35:09+00:00,03:35:09,BTC,93890.191,93885.37,93890.75,dom,1,2026-01-06T03:37:30.009977+00:00
2026-01-06T03:35:10+00:00,03:35:10,BTC,93888.581,93883.35,93891.34,dom,1,2026-01-06T03:37:32.018981+00:00
2026-01-06T03:35:11+00:00,03:35:11,BTC,93886.941,93881.67,93891.88,dom,1,2026-01-06T03:37:33.006066+00:00
2026-01-06T03:35:12+00:00,03:35:12,BTC,93886.791,93881.5,93891.57,dom,1,2026-01-06T03:37:34.012373+00:00
2026-01-06T03:35:13+00:00,03:35:13,BTC,93885.241,93880.11,93889.62,dom,1,2026-01-06T03:37:34.995861+00:00
2026-01-06T03:35:14+00:00,03:35:14,BTC,93883.771,93878.8,93887.32,dom,1,2026-01-06T03:37:36.026181+00:00
2026-01-06T03:35:15+00:00,03:35:15,BTC,93883.731,93878.8,93886.5,dom,1,2026-01-06T03:37:37.033369+00:00
2026-01-06T03:35:16+00:00,03:35:16,BTC,93882.871,93877.91,93886.19,dom,1,2026-01-06T03:37:38.026573+00:00
2026-01-06T03:35:17+00:00,03:35:17,BTC,93880.911,93876.06,93885.18,dom,1,2026-01-06T03:37:39.057334+00:00
2026-01-06T03:35:18+00:00,03:35:18,BTC,93879.801,93875.08,93884.26,dom,1,2026-01-06T03:37:40.064457+00:00
2026-01-06T03:35:19+00:00,03:35:19,BTC,93879.831,93875.12,93884.52,dom,1,2026-01-06T03:37:41.043173+00:00
2026-01-06T03:35:20+00:00,03:35:20,BTC,93880.061,93875.45,93884.79,dom,1,2026-01-06T03:37:42.060685+00:00
2026-01-06T03:35:21+00:00,03:35:21,BTC,93880.271,93875.75,93884.8,dom,1,2026-01-06T03:37:43.045046+00:00
2026-01-06T03:35:22+00:00,03:35:22,BTC,93880.281,93875.76,93884.8,dom,1,2026-01-06T03:37:44.059988+00:00
2026-01-06T03:35:23+00:00,03:35:23,BTC,93880.281,93875.76,93884.8,dom,1,2026-01-06T03:37:45.058945+00:00
2026-01-06T03:35:24+00:00,03:35:24,BTC,93880.281,93875.76,93884.8,dom,1,2026-01-06T03:37:46.045801+00:00
2026-01-06T03:35:25+00:00,03:35:25,BTC,93880.241,93875.71,93883.95,dom,1,2026-01-06T03:37:47.061006+00:00
2026-01-06T03:35:26+00:00,03:35:26,BTC,93880.201,93875.66,93883.1,dom,1,2026-01-06T03:37:48.072187+00:00
2026-01-06T03:35:27+00:00,03:35:27,BTC,93880.201,93875.66,93882.96,dom,1,2026-01-06T03:37:49.065072+00:00
2026-01-06T03:35:28+00:00,03:35:28,BTC,93880.201,93875.66,93882.69,dom,1,2026-01-06T03:37:50.179331+00:00
2026-01-06T03:35:29+00:00,03:35:29,BTC,93880.191,93875.6,93882.3,dom,1,2026-01-06T03:37:51.165210+00:00
2026-01-06T03:35:30+00:00,03:35:30,BTC,93880.151,93875.27,93882.33,dom,1,2026-01-06T03:37:52.174575+00:00
2026-01-06T03:35:31+00:00,03:35:31,BTC,93879.901,93874.98,93882.82,dom,1,2026-01-06T03:37:53.174518+00:00
2026-01-06T03:35:33+00:00,03:35:33,BTC,93879.691,93874.95,93883.03,dom,1,2026-01-06T03:37:54.219387+00:00
2026-01-06T03:35:34+00:00,03:35:34,BTC,93879.561,93874.53,93881.98,dom,1,2026-01-06T03:37:56.194468+00:00
2026-01-06T03:35:35+00:00,03:35:35,BTC,93879.581,93874.83,93882.64,dom,1,2026-01-06T03:37:57.197340+00:00
2026-01-06T03:35:36+00:00,03:35:36,BTC,93878.681,93873.84,93881.5,dom,1,2026-01-06T03:37:58.207646+00:00
2026-01-06T03:35:37+00:00,03:35:37,BTC,93877.761,93872.69,93879.8,dom,1,2026-01-06T03:37:59.230488+00:00
2026-01-06T03:35:38+00:00,03:35:38,BTC,93878.891,93874.04,93881.54,dom,1,2026-01-06T03:38:00.239567+00:00
2026-01-06T03:35:40+00:00,03:35:40,BTC,93879.401,93874.67,93883.28,dom,1,2026-01-06T03:38:01.279802+00:00
2026-01-06T03:35:41+00:00,03:35:41,BTC,93879.371,93874.67,93882.55,dom,1,2026-01-06T03:38:02.298998+00:00
2026-01-06T03:35:42+00:00,03:35:42,BTC,93879.371,93874.67,93882.55,dom,1,2026-01-06T03:38:03.299746+00:00
2026-01-06T03:35:43+00:00,03:35:43,BTC,93879.431,93874.67,93883.03,dom,1,2026-01-06T03:38:04.293414+00:00
2026-01-06T03:35:44+00:00,03:35:44,BTC,93879.431,93874.67,93883.03,dom,1,2026-01-06T03:38:05.310439+00:00
2026-01-06T03:35:45+00:00,03:35:45,BTC,93879.541,93874.59,93882.08,dom,1,2026-01-06T03:38:06.284421+00:00
2026-01-06T03:35:46+00:00,03:35:46,BTC,93879.401,93874.6,93882.08,dom,1,2026-01-06T03:38:07.266422+00:00
2026-01-06T03:35:47+00:00,03:35:47,BTC,93879.461,93874.67,93882.54,dom,1,2026-01-06T03:38:08.280265+00:00
2026-01-06T03:35:48+00:00,03:35:48,BTC,93879.461,93874.67,93882.54,dom,1,2026-01-06T03:38:09.273987+00:00
2026-01-06T03:35:49+00:00,03:35:49,BTC,93879.261,93873.42,93881.89,dom,1,2026-01-06T03:38:10.281656+00:00
2026-01-06T03:35:50+00:00,03:35:50,BTC,93877.681,93872.58,93880.84,dom,1,2026-01-06T03:38:11.303479+00:00
2026-01-06T03:35:51+00:00,03:35:51,BTC,93874.241,93869.74,93876.1,dom,1,2026-01-06T03:38:12.311047+00:00
2026-01-06T03:35:52+00:00,03:35:52,BTC,93874.261,93869.74,93877.55,dom,1,2026-01-06T03:38:13.309719+00:00
2026-01-06T03:35:53+00:00,03:35:53,BTC,93873.881,93869.2,93874.3,dom,1,2026-01-06T03:38:14.325091+00:00
2026-01-06T03:35:54+00:00,03:35:54,BTC,93873.621,93869.06,93874.06,dom,1,2026-01-06T03:38:15.346764+00:00
2026-01-06T03:35:55+00:00,03:35:55,BTC,93873.981,93869.07,93874.39,dom,1,2026-01-06T03:38:16.359791+00:00
2026-01-06T03:35:56+00:00,03:35:56,BTC,93874.201,93869.61,93875.31,dom,1,2026-01-06T03:38:18.389897+00:00
