timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:38:08.807000+00:00,2026-01-06 17:38:09.293518+00:00,488.807,0.905,0.9,0.91,0.095,0.09,0.1,186.0,274.28,274.28,282.0,0.89,460.0,0.92,235.0,0.08,230.0,0.11,570.0
2026-01-06 17:38:09.474000+00:00,2026-01-06 17:38:09.909102+00:00,489.474,0.905,0.9,0.91,0.095,0.09,0.1,135.0,74.28,74.28,354.0,0.89,669.3,0.92,270.0,0.08,270.0,0.11,566.3
2026-01-06 17:38:09.823000+00:00,2026-01-06 17:38:10.299731+00:00,489.823,0.905,0.9,0.91,0.095,0.09,0.1,254.0,104.28,59.28,464.0,0.89,636.3,0.92,270.0,0.08,285.0,0.11,566.3
2026-01-06 17:38:10.435000+00:00,2026-01-06 17:38:10.913478+00:00,490.435,0.905,0.9,0.91,0.095,0.09,0.1,492.4,59.28,59.28,483.4,0.89,510.3,0.92,45.0,0.08,45.0,0.11,510.3
2026-01-06 17:38:10.822000+00:00,2026-01-06 17:38:11.299147+00:00,490.822,0.905,0.9,0.91,0.095,0.09,0.1,640.4,31.28,31.28,1071.4,0.89,449.1,0.93,513.73,0.07,513.73,0.11,570.1
2026-01-06 17:38:11.447000+00:00,2026-01-06 17:38:11.927723+00:00,491.447,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,35.0,485.73,485.73,35.0,0.91,347.0,0.94,111.0,0.06,116.0,0.09,387.9
2026-01-06 17:38:11.827000+00:00,2026-01-06 17:38:12.308283+00:00,491.827,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,131.7,485.73,485.73,131.7,0.91,318.9,0.94,116.0,0.06,116.0,0.09,318.9
2026-01-06 17:38:12.440000+00:00,2026-01-06 17:38:12.930736+00:00,492.44,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,131.7,441.82,446.82,131.7,0.91,318.9,0.94,45.0,0.06,440.0,0.09,257.9
2026-01-06 17:38:12.844000+00:00,2026-01-06 17:38:13.321823+00:00,492.844,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,131.7,441.82,441.82,131.7,0.91,362.9,0.94,245.0,0.06,262.0,0.09,362.9
2026-01-06 17:38:13.438000+00:00,2026-01-06 17:38:13.926675+00:00,493.438,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,207.7,441.82,441.82,207.7,0.91,855.9,0.94,62.0,0.06,62.0,0.09,870.9
2026-01-06 17:38:13.831000+00:00,2026-01-06 17:38:14.340319+00:00,493.831,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,207.7,430.58,430.58,212.7,0.91,870.9,0.94,62.0,0.06,62.0,0.09,870.9
2026-01-06 17:38:14.473000+00:00,2026-01-06 17:38:14.942679+00:00,494.473,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,217.7,301.55,272.79,217.7,0.91,855.9,0.94,62.0,0.06,62.0,0.09,838.9
2026-01-06 17:38:14.859000+00:00,2026-01-06 17:38:15.343476+00:00,494.859,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,288.7,247.79,234.51,217.7,0.91,821.9,0.94,96.0,0.06,366.0,0.09,821.9
2026-01-06 17:38:15.452000+00:00,2026-01-06 17:38:15.958630+00:00,495.452,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,209.7,105.47,105.47,209.7,0.91,846.9,0.94,349.0,0.06,349.0,0.09,846.9
2026-01-06 17:38:15.645000+00:00,2026-01-06 17:38:16.343002+00:00,495.645,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,209.7,105.47,105.47,209.7,0.91,846.9,0.94,349.0,0.06,349.0,0.09,846.9
2026-01-06 17:38:16.483000+00:00,2026-01-06 17:38:16.968350+00:00,496.483,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,517.7,105.47,105.47,565.7,0.91,863.9,0.94,40.0,0.06,55.0,0.09,359.9
2026-01-06 17:38:16.871000+00:00,2026-01-06 17:38:17.365228+00:00,496.871,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,726.7,60.47,60.47,839.7,0.91,414.9,0.94,70.0,0.06,70.0,0.09,414.9
2026-01-06 17:38:17.477000+00:00,2026-01-06 17:38:17.971292+00:00,497.477,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,642.7,34.47,114.47,1047.7,0.91,476.9,0.94,60.0,0.06,60.0,0.09,406.9
2026-01-06 17:38:17.886000+00:00,2026-01-06 17:38:18.365573+00:00,497.886,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,1030.7,94.47,94.47,959.7,0.91,389.9,0.94,60.0,0.06,60.0,0.09,389.9
