timestamp,seconds,mid,bid,ask,asset
2026-01-07 04:03:58+00:00,238.0,3268.671,3268.56,3268.94,ETH
2026-01-07 04:03:59+00:00,239.0,3268.581,3268.45,3268.84,ETH
2026-01-07 04:04:00+00:00,240.0,3268.581,3268.42,3268.81,ETH
2026-01-07 04:04:01+00:00,241.0,3268.581,3268.49,3268.83,ETH
2026-01-07 04:04:02+00:00,242.0,3268.811,3268.76,3269.0,ETH
2026-01-07 04:04:03+00:00,243.0,3269.031,3268.85,3269.16,ETH
2026-01-07 04:04:04+00:00,244.0,3268.721,3268.52,3268.87,ETH
2026-01-07 04:04:05+00:00,245.0,3268.341,3268.27,3268.53,ETH
2026-01-07 04:04:06+00:00,246.0,3268.221,3268.2,3268.39,ETH
2026-01-07 04:04:07+00:00,247.0,3268.201,3268.17,3268.27,ETH
2026-01-07 04:04:08+00:00,248.0,3268.381,3268.33,3268.51,ETH
2026-01-07 04:04:09+00:00,249.0,3268.551,3268.51,3268.77,ETH
2026-01-07 04:04:10+00:00,250.0,3268.561,3268.53,3268.77,ETH
2026-01-07 04:04:11+00:00,251.0,3268.571,3268.53,3268.77,ETH
2026-01-07 04:04:12+00:00,252.0,3268.631,3268.53,3268.8,ETH
2026-01-07 04:04:13+00:00,253.0,3268.711,3268.54,3268.83,ETH
2026-01-07 04:04:14+00:00,254.0,3268.741,3268.6,3268.89,ETH
2026-01-07 04:04:15+00:00,255.0,3268.771,3268.65,3268.91,ETH
2026-01-07 04:04:16+00:00,256.0,3268.831,3268.75,3268.95,ETH
2026-01-07 04:04:17+00:00,257.0,3268.941,3268.84,3269.05,ETH
2026-01-07 04:04:18+00:00,258.0,3269.031,3268.91,3269.1,ETH
2026-01-07 04:04:19+00:00,259.0,3269.071,3268.98,3269.12,ETH
2026-01-07 04:04:20+00:00,260.0,3269.071,3268.99,3269.14,ETH
2026-01-07 04:04:21+00:00,261.0,3269.141,3269.02,3269.21,ETH
2026-01-07 04:04:22+00:00,262.0,3269.221,3269.06,3269.31,ETH
2026-01-07 04:04:23+00:00,263.0,3269.231,3269.1,3269.33,ETH
2026-01-07 04:04:24+00:00,264.0,3269.231,3269.09,3269.3,ETH
2026-01-07 04:04:25+00:00,265.0,3269.401,3269.27,3269.48,ETH
2026-01-07 04:04:26+00:00,266.0,3269.571,3269.48,3269.66,ETH
2026-01-07 04:04:27+00:00,267.0,3269.571,3269.51,3269.67,ETH
2026-01-07 04:04:28+00:00,268.0,3269.561,3269.5,3269.66,ETH
2026-01-07 04:04:29+00:00,269.0,3269.571,3269.51,3269.66,ETH
2026-01-07 04:04:30+00:00,270.0,3269.571,3269.5,3269.66,ETH
2026-01-07 04:04:31+00:00,271.0,3269.331,3269.26,3269.41,ETH
2026-01-07 04:04:32+00:00,272.0,3269.111,3269.05,3269.16,ETH
2026-01-07 04:04:33+00:00,273.0,3269.101,3269.04,3269.14,ETH
2026-01-07 04:04:34+00:00,274.0,3268.851,3268.78,3268.89,ETH
2026-01-07 04:04:35+00:00,275.0,3268.601,3268.55,3268.69,ETH
2026-01-07 04:04:36+00:00,276.0,3268.601,3268.58,3268.76,ETH
2026-01-07 04:04:37+00:00,277.0,3268.691,3268.62,3268.84,ETH
2026-01-07 04:04:38+00:00,278.0,3268.791,3268.65,3268.89,ETH
2026-01-07 04:04:39+00:00,279.0,3268.801,3268.65,3268.89,ETH
2026-01-07 04:04:40+00:00,280.0,3268.801,3268.65,3268.89,ETH
2026-01-07 04:04:41+00:00,281.0,3268.781,3268.63,3268.89,ETH
2026-01-07 04:04:42+00:00,282.0,3268.781,3268.61,3268.88,ETH
2026-01-07 04:04:43+00:00,283.0,3268.781,3268.61,3268.91,ETH
2026-01-07 04:04:44+00:00,284.0,3268.781,3268.61,3268.92,ETH
2026-01-07 04:04:45+00:00,285.0,3268.781,3268.61,3268.91,ETH
2026-01-07 04:04:46+00:00,286.0,3268.791,3268.59,3268.94,ETH
2026-01-07 04:04:47+00:00,287.0,3268.791,3268.59,3268.95,ETH
2026-01-07 04:04:48+00:00,288.0,3268.781,3268.6,3268.92,ETH
2026-01-07 04:04:49+00:00,289.0,3268.781,3268.6,3268.92,ETH
2026-01-07 04:04:50+00:00,290.0,3268.791,3268.61,3268.93,ETH
2026-01-07 04:04:51+00:00,291.0,3268.681,3268.59,3268.9,ETH
2026-01-07 04:04:52+00:00,292.0,3268.531,3268.52,3268.77,ETH
2026-01-07 04:04:53+00:00,293.0,3268.481,3268.47,3268.61,ETH
2026-01-07 04:04:54+00:00,294.0,3268.421,3268.4,3268.49,ETH
2026-01-07 04:04:55+00:00,295.0,3268.371,3268.35,3268.42,ETH
2026-01-07 04:04:56+00:00,296.0,3268.381,3268.37,3268.47,ETH
2026-01-07 04:04:57+00:00,297.0,3268.421,3268.41,3268.53,ETH
2026-01-07 04:04:58+00:00,298.0,3268.501,3268.47,3268.64,ETH
2026-01-07 04:04:59+00:00,299.0,3268.571,3268.53,3268.75,ETH
2026-01-07 04:05:00+00:00,300.0,3268.711,3268.6,3268.99,ETH
2026-01-07 04:05:01+00:00,301.0,3269.041,3268.9,3269.25,ETH
2026-01-07 04:05:02+00:00,302.0,3269.241,3269.13,3269.3,ETH
2026-01-07 04:05:03+00:00,303.0,3269.271,3269.18,3269.43,ETH
2026-01-07 04:05:04+00:00,304.0,3269.301,3269.24,3269.54,ETH
2026-01-07 04:05:05+00:00,305.0,3269.311,3269.24,3269.52,ETH
2026-01-07 04:05:06+00:00,306.0,3269.311,3269.24,3269.5,ETH
2026-01-07 04:05:07+00:00,307.0,3269.311,3269.24,3269.55,ETH
2026-01-07 04:05:08+00:00,308.0,3269.311,3269.24,3269.48,ETH
2026-01-07 04:05:09+00:00,309.0,3269.351,3269.28,3269.43,ETH
2026-01-07 04:05:10+00:00,310.0,3269.391,3269.31,3269.49,ETH
2026-01-07 04:05:11+00:00,311.0,3269.391,3269.33,3269.51,ETH
2026-01-07 04:05:12+00:00,312.0,3269.391,3269.36,3269.53,ETH
2026-01-07 04:05:13+00:00,313.0,3269.391,3269.35,3269.51,ETH
2026-01-07 04:05:14+00:00,314.0,3269.401,3269.34,3269.47,ETH
2026-01-07 04:05:15+00:00,315.0,3269.411,3269.33,3269.52,ETH
2026-01-07 04:05:16+00:00,316.0,3269.421,3269.33,3269.55,ETH
2026-01-07 04:05:17+00:00,317.0,3269.421,3269.33,3269.53,ETH
2026-01-07 04:05:18+00:00,318.0,3269.441,3269.32,3269.54,ETH
2026-01-07 04:05:19+00:00,319.0,3269.471,3269.32,3269.56,ETH
2026-01-07 04:05:20+00:00,320.0,3269.471,3269.35,3269.53,ETH
2026-01-07 04:05:21+00:00,321.0,3269.471,3269.35,3269.75,ETH
2026-01-07 04:05:22+00:00,322.0,3269.471,3269.36,3269.63,ETH
2026-01-07 04:05:23+00:00,323.0,3269.471,3269.36,3269.57,ETH
2026-01-07 04:05:24+00:00,324.0,3269.471,3269.36,3269.53,ETH
2026-01-07 04:05:25+00:00,325.0,3269.471,3269.36,3269.56,ETH
2026-01-07 04:05:26+00:00,326.0,3269.471,3269.36,3269.56,ETH
2026-01-07 04:05:27+00:00,327.0,3269.471,3269.35,3269.55,ETH
2026-01-07 04:05:28+00:00,328.0,3269.471,3269.36,3269.56,ETH
2026-01-07 04:05:29+00:00,329.0,3269.471,3269.36,3269.57,ETH
2026-01-07 04:05:30+00:00,330.0,3269.471,3269.36,3269.57,ETH
2026-01-07 04:05:31+00:00,331.0,3269.471,3269.36,3269.55,ETH
2026-01-07 04:05:32+00:00,332.0,3269.411,3269.36,3269.48,ETH
2026-01-07 04:05:33+00:00,333.0,3269.411,3269.35,3269.48,ETH
2026-01-07 04:05:34+00:00,334.0,3269.321,3269.27,3269.36,ETH
2026-01-07 04:05:35+00:00,335.0,3269.311,3269.23,3269.35,ETH
2026-01-07 04:05:36+00:00,336.0,3269.121,3268.95,3269.16,ETH
2026-01-07 04:05:37+00:00,337.0,3268.881,3268.81,3268.98,ETH
2026-01-07 04:05:38+00:00,338.0,3268.851,3268.81,3268.99,ETH
2026-01-07 04:05:39+00:00,339.0,3268.841,3268.8,3269.0,ETH
2026-01-07 04:05:40+00:00,340.0,3268.971,3268.86,3269.13,ETH
2026-01-07 04:05:41+00:00,341.0,3268.951,3268.86,3269.2,ETH
2026-01-07 04:05:42+00:00,342.0,3268.821,3268.8,3269.15,ETH
2026-01-07 04:05:43+00:00,343.0,3268.851,3268.8,3269.06,ETH
2026-01-07 04:05:44+00:00,344.0,3268.851,3268.8,3269.06,ETH
2026-01-07 04:05:45+00:00,345.0,3268.901,3268.86,3269.06,ETH
2026-01-07 04:05:46+00:00,346.0,3269.311,3269.23,3269.38,ETH
2026-01-07 04:05:47+00:00,347.0,3269.351,3269.27,3269.4,ETH
2026-01-07 04:05:48+00:00,348.0,3269.441,3269.32,3269.49,ETH
2026-01-07 04:05:49+00:00,349.0,3269.451,3269.32,3269.6,ETH
2026-01-07 04:05:50+00:00,350.0,3269.461,3269.32,3269.6,ETH
2026-01-07 04:05:51+00:00,351.0,3269.621,3269.45,3269.79,ETH
2026-01-07 04:05:52+00:00,352.0,3269.621,3269.45,3269.78,ETH
2026-01-07 04:05:53+00:00,353.0,3269.621,3269.45,3269.97,ETH
2026-01-07 04:05:54+00:00,354.0,3269.421,3269.37,3269.83,ETH
2026-01-07 04:05:55+00:00,355.0,3269.251,3269.21,3269.32,ETH
2026-01-07 04:05:56+00:00,356.0,3269.201,3269.11,3269.26,ETH
2026-01-07 04:05:57+00:00,357.0,3269.141,3269.07,3269.25,ETH
2026-01-07 04:05:58+00:00,358.0,3269.161,3269.07,3269.25,ETH
2026-01-07 04:05:59+00:00,359.0,3269.251,3269.08,3269.39,ETH
2026-01-07 04:06:00+00:00,360.0,3269.251,3269.12,3269.45,ETH
2026-01-07 04:06:01+00:00,361.0,3269.251,3269.2,3269.51,ETH
2026-01-07 04:06:02+00:00,362.0,3269.171,3269.03,3269.39,ETH
2026-01-07 04:06:03+00:00,363.0,3269.121,3269.03,3269.17,ETH
2026-01-07 04:06:04+00:00,364.0,3269.121,3269.03,3269.17,ETH
2026-01-07 04:06:05+00:00,365.0,3269.091,3269.03,3269.17,ETH
2026-01-07 04:06:06+00:00,366.0,3269.171,3269.03,3269.31,ETH
2026-01-07 04:06:07+00:00,367.0,3268.881,3268.85,3268.97,ETH
