timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,up_bid_3,up_bid_3_size,up_ask_3,up_ask_3_size,up_bid_4,up_bid_4_size,up_ask_4,up_ask_4_size,up_bid_5,up_bid_5_size,up_ask_5,up_ask_5_size,up_bid_6,up_bid_6_size,up_ask_6,up_ask_6_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size,down_bid_3,down_bid_3_size,down_ask_3,down_ask_3_size,down_bid_4,down_bid_4_size,down_ask_4,down_ask_4_size,down_bid_5,down_bid_5_size,down_ask_5,down_ask_5_size,down_bid_6,down_bid_6_size,down_ask_6,down_ask_6_size
2026-01-07 12:45:11.303000+00:00,2026-01-07 12:45:08.914457+00:00,11.303,0.625,0.62,0.63,0.395,0.39,0.4,5.0,90.0,20.0,35.0,0.6,183.0,0.64,90.0,0.59,183.0,0.65,549.29,0.58,338.0,0.66,297.0,0.57,242.0,0.67,312.0,0.56,127.0,0.68,218.62,0.38,20.0,0.41,213.0,0.37,110.0,0.42,338.0,0.36,100.0,0.43,242.0,0.35,513.29,0.44,162.0,0.34,393.0,0.45,183.85
2026-01-07 12:45:12.221000+00:00,2026-01-07 12:45:09.918426+00:00,12.221,0.595,0.59,0.6,0.405,0.4,0.41,183.0,125.0,125.0,183.0,0.58,313.0,0.61,150.0,0.57,303.0,0.62,145.0,0.56,223.0,0.63,268.0,0.55,218.85,0.64,313.0,0.54,203.0,0.65,505.29,0.39,185.0,0.42,313.0,0.38,120.0,0.43,303.0,0.37,293.0,0.44,223.0,0.36,313.0,0.45,218.85,0.35,505.29,0.46,203.0
2026-01-07 12:45:13.876000+00:00,2026-01-07 12:45:11.926895+00:00,13.876,0.595,0.59,0.6,0.405,0.4,0.41,183.0,95.98,95.98,183.0,0.58,383.0,0.61,155.0,0.57,233.0,0.62,145.0,0.56,223.0,0.63,263.0,0.55,223.85,0.64,313.0,0.54,273.0,0.65,499.29,0.39,155.0,0.42,383.0,0.38,145.0,0.43,233.0,0.37,263.0,0.44,223.0,0.36,313.0,0.45,223.85,0.35,499.29,0.46,273.0
2026-01-07 12:45:15.330000+00:00,2026-01-07 12:45:12.948066+00:00,15.33,0.595,0.59,0.6,0.405,0.4,0.41,273.0,20.0,20.0,273.0,0.58,433.0,0.61,245.0,0.57,303.0,0.62,215.0,0.56,293.0,0.63,333.0,0.55,293.85,0.64,383.0,0.54,273.0,0.65,570.29,0.39,245.0,0.42,433.0,0.38,215.0,0.43,303.0,0.37,333.0,0.44,293.0,0.36,383.0,0.45,293.85,0.35,570.29,0.46,273.0
2026-01-07 12:45:16.223000+00:00,2026-01-07 12:45:13.953832+00:00,16.223,0.595,0.59,0.6,0.405,0.4,0.41,256.34,20.0,110.0,166.34,0.58,433.0,0.61,245.0,0.57,303.0,0.62,215.0,0.56,293.0,0.63,333.0,0.55,293.85,0.64,383.0,0.54,273.0,0.65,570.29,0.39,225.0,0.42,453.0,0.38,215.0,0.43,303.0,0.37,333.0,0.44,288.0,0.36,383.0,0.45,293.85,0.35,570.29,0.46,273.0
2026-01-07 12:45:17.238000+00:00,2026-01-07 12:45:14.958635+00:00,17.238,0.595,0.59,0.6,0.405,0.4,0.41,166.34,130.91,130.91,166.34,0.58,453.0,0.61,225.0,0.57,303.0,0.62,215.0,0.56,288.0,0.63,333.0,0.55,293.85,0.64,383.0,0.54,273.0,0.65,550.29,0.39,225.0,0.42,453.0,0.38,215.0,0.43,303.0,0.37,333.0,0.44,288.0,0.36,383.0,0.45,293.85,0.35,550.29,0.46,273.0
2026-01-07 12:45:18.330000+00:00,2026-01-07 12:45:15.977625+00:00,18.33,0.585,0.58,0.59,0.415,0.41,0.42,75.0,85.0,202.0,110.0,0.57,283.0,0.6,192.91,0.56,378.0,0.61,200.0,0.55,363.85,0.62,170.0,0.54,283.0,0.63,358.0,0.53,2027.0,0.64,432.0,0.4,160.0,0.43,283.0,0.39,200.0,0.44,398.0,0.38,170.0,0.45,363.85,0.37,426.0,0.46,318.0,0.36,363.0,0.47,2027.0
2026-01-07 12:45:19.328000+00:00,2026-01-07 12:45:16.998467+00:00,19.328,0.585,0.58,0.59,0.415,0.41,0.42,35.0,165.0,180.0,35.0,0.57,303.0,0.6,170.0,0.56,468.0,0.61,195.0,0.55,303.85,0.62,170.0,0.54,308.0,0.63,426.0,0.53,2032.0,0.64,363.0,0.4,170.0,0.43,283.0,0.39,195.0,0.44,468.0,0.38,170.0,0.45,303.85,0.37,426.0,0.46,308.0,0.36,363.0,0.47,2032.0
2026-01-07 12:45:20.343000+00:00,2026-01-07 12:45:18.005303+00:00,20.343,0.585,0.58,0.59,0.415,0.41,0.42,35.0,113.35,113.35,35.0,0.57,443.0,0.6,210.0,0.56,388.0,0.61,205.0,0.55,293.85,0.62,170.0,0.54,308.0,0.63,358.0,0.53,2032.0,0.64,432.0,0.4,210.0,0.43,443.0,0.39,205.0,0.44,388.0,0.38,170.0,0.45,293.85,0.37,358.0,0.46,308.0,0.36,432.0,0.47,2032.0
2026-01-07 12:45:21.365000+00:00,2026-01-07 12:45:19.027227+00:00,21.365,0.585,0.58,0.59,0.415,0.41,0.42,55.0,98.35,98.35,55.0,0.57,453.0,0.6,190.0,0.56,378.0,0.61,225.0,0.55,293.85,0.62,190.0,0.54,308.0,0.63,358.0,0.53,2032.0,0.64,432.0,0.4,190.0,0.43,453.0,0.39,225.0,0.44,378.0,0.38,190.0,0.45,293.85,0.37,358.0,0.46,308.0,0.36,432.0,0.47,2032.0
2026-01-07 12:45:22.378000+00:00,2026-01-07 12:45:20.030524+00:00,22.378,0.585,0.58,0.59,0.415,0.41,0.42,52.61,98.35,98.35,52.61,0.57,453.0,0.6,225.0,0.56,378.0,0.61,200.0,0.55,293.85,0.62,215.0,0.54,308.0,0.63,358.0,0.53,2032.0,0.64,432.0,0.4,225.0,0.43,453.0,0.39,200.0,0.44,378.0,0.38,215.0,0.45,293.85,0.37,358.0,0.46,308.0,0.36,432.0,0.47,2032.0
2026-01-07 12:45:23.383000+00:00,2026-01-07 12:45:21.039857+00:00,23.383,0.585,0.58,0.59,0.415,0.41,0.42,20.0,98.35,98.35,20.0,0.57,483.0,0.6,225.0,0.56,353.0,0.61,200.0,0.55,293.85,0.62,248.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,363.0,0.4,225.0,0.43,483.0,0.39,200.0,0.44,353.0,0.38,248.1,0.45,293.85,0.37,358.0,0.46,308.0,0.36,363.0,0.47,2067.0
2026-01-07 12:45:24.395000+00:00,2026-01-07 12:45:22.044369+00:00,24.395,0.585,0.58,0.59,0.415,0.41,0.42,5.85,98.35,98.35,5.85,0.57,478.0,0.6,225.0,0.56,353.0,0.61,200.0,0.55,293.85,0.62,248.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,363.0,0.4,225.0,0.43,478.0,0.39,200.0,0.44,353.0,0.38,248.1,0.45,293.85,0.37,358.0,0.46,308.0,0.36,363.0,0.47,2067.0
2026-01-07 12:45:25.687000+00:00,2026-01-07 12:45:24.050782+00:00,25.687,0.585,0.58,0.59,0.42,0.41,0.43,5.85,93.35,93.35,295.0,0.57,295.0,0.6,235.0,0.56,353.0,0.61,200.0,0.55,288.85,0.62,421.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,363.0,0.4,235.0,0.44,353.0,0.39,200.0,0.45,288.85,0.38,421.1,0.46,308.0,0.37,358.0,0.47,2067.0,0.36,363.0,0.48,1540.38
2026-01-07 12:45:27.403000+00:00,2026-01-07 12:45:25.072393+00:00,27.403,0.585,0.58,0.59,0.415,0.41,0.42,5.0,93.35,93.35,25.0,0.57,295.0,0.6,235.0,0.56,353.0,0.61,200.0,0.55,288.85,0.62,416.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,363.0,0.4,235.0,0.43,295.0,0.39,210.0,0.44,353.0,0.38,416.1,0.45,288.85,0.37,358.0,0.46,308.0,0.36,363.0,0.47,2067.0
2026-01-07 12:45:28.434000+00:00,2026-01-07 12:45:26.062086+00:00,28.434,0.585,0.58,0.59,0.415,0.41,0.42,10.0,93.35,128.35,10.0,0.57,295.0,0.6,200.0,0.56,353.0,0.61,200.0,0.55,288.85,0.62,416.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,328.0,0.4,210.0,0.43,295.0,0.39,235.0,0.44,353.0,0.38,416.1,0.45,288.85,0.37,358.0,0.46,308.0,0.36,328.0,0.47,2067.0
2026-01-07 12:45:29.366000+00:00,2026-01-07 12:45:27.082574+00:00,29.366,0.585,0.58,0.59,0.415,0.41,0.42,20.0,108.68,108.68,20.0,0.57,214.06,0.6,210.0,0.56,283.0,0.61,235.0,0.55,218.85,0.62,416.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,328.0,0.4,210.0,0.43,214.06,0.39,235.0,0.44,283.0,0.38,416.1,0.45,218.85,0.37,358.0,0.46,308.0,0.36,328.0,0.47,2067.0
2026-01-07 12:45:30.911000+00:00,2026-01-07 12:45:29.093884+00:00,30.911,0.575,0.57,0.58,0.425,0.42,0.43,144.06,20.0,20.0,144.06,0.56,353.0,0.59,218.68,0.55,218.85,0.6,190.0,0.54,308.0,0.61,215.0,0.53,2067.0,0.62,416.1,0.52,1540.38,0.63,358.0,0.41,218.68,0.44,353.0,0.4,190.0,0.45,218.85,0.39,215.0,0.46,308.0,0.38,416.1,0.47,2067.0,0.37,358.0,0.48,1540.38
2026-01-07 12:45:32.368000+00:00,2026-01-07 12:45:30.102024+00:00,32.368,0.585,0.58,0.59,0.415,0.41,0.42,20.0,178.68,178.68,20.0,0.57,194.06,0.6,230.0,0.56,303.0,0.61,215.0,0.55,218.85,0.62,416.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,377.0,0.4,230.0,0.43,194.06,0.39,215.0,0.44,303.0,0.38,416.1,0.45,218.85,0.37,358.0,0.46,308.0,0.36,377.0,0.47,2067.0
2026-01-07 12:45:33.480000+00:00,2026-01-07 12:45:31.123585+00:00,33.48,0.575,0.57,0.58,0.425,0.42,0.43,129.06,26.0,20.0,129.06,0.56,303.0,0.59,183.68,0.55,218.85,0.6,190.0,0.54,308.0,0.61,195.0,0.53,2067.0,0.62,411.1,0.52,1540.38,0.63,358.0,0.41,218.68,0.44,353.0,0.4,190.0,0.45,218.85,0.39,215.0,0.46,308.0,0.38,411.1,0.47,2067.0,0.37,358.0,0.48,1540.38
2026-01-07 12:45:34.440000+00:00,2026-01-07 12:45:32.124748+00:00,34.44,0.575,0.57,0.58,0.425,0.42,0.43,129.06,20.0,20.0,129.06,0.56,353.0,0.59,218.68,0.55,218.85,0.6,190.0,0.54,308.0,0.61,215.0,0.53,2067.0,0.62,411.1,0.52,1540.38,0.63,358.0,0.41,218.68,0.44,353.0,0.4,190.0,0.45,218.85,0.39,215.0,0.46,308.0,0.38,411.1,0.47,2067.0,0.37,358.0,0.48,1540.38
2026-01-07 12:45:35.476000+00:00,2026-01-07 12:45:33.131651+00:00,35.476,0.575,0.57,0.58,0.425,0.42,0.43,125.0,45.0,15.0,125.0,0.56,343.0,0.59,248.68,0.55,238.85,0.6,190.0,0.54,308.0,0.61,205.0,0.53,2067.0,0.62,411.1,0.52,1540.38,0.63,358.0,0.41,248.68,0.44,343.0,0.4,190.0,0.45,238.85,0.39,205.0,0.46,308.0,0.38,411.1,0.47,2067.0,0.37,358.0,0.48,1540.38
2026-01-07 12:45:36.401000+00:00,2026-01-07 12:45:34.152075+00:00,36.401,0.575,0.57,0.58,0.425,0.42,0.43,308.0,15.0,15.0,318.0,0.56,353.0,0.59,263.68,0.55,218.85,0.6,190.0,0.54,308.0,0.61,205.0,0.53,2067.0,0.62,228.1,0.52,1540.38,0.63,358.0,0.41,238.68,0.44,353.0,0.4,180.0,0.45,218.85,0.39,205.0,0.46,308.0,0.38,228.1,0.47,2067.0,0.37,358.0,0.48,1540.38
2026-01-07 12:45:37.156000+00:00,2026-01-07 12:45:35.159620+00:00,37.156,0.585,0.58,0.59,0.415,0.41,0.42,20.0,198.68,198.68,20.0,0.57,368.0,0.6,230.0,0.56,303.0,0.61,215.0,0.55,218.85,0.62,228.1,0.54,308.0,0.63,358.0,0.53,2067.0,0.64,273.0,0.4,230.0,0.43,368.0,0.39,215.0,0.44,303.0,0.38,228.1,0.45,218.85,0.37,358.0,0.46,308.0,0.36,273.0,0.47,2067.0
2026-01-07 12:45:38.555000+00:00,2026-01-07 12:45:36.182103+00:00,38.555,0.575,0.57,0.58,0.425,0.42,0.43,45.0,125.0,150.0,35.0,0.56,373.0,0.59,218.68,0.55,218.85,0.6,200.0,0.54,308.0,0.61,205.0,0.53,2516.0,0.62,411.1,0.52,1540.38,0.63,358.0,0.41,218.68,0.44,363.0,0.4,200.0,0.45,238.85,0.39,205.0,0.46,308.0,0.38,411.1,0.47,2516.0,0.37,358.0,0.48,1540.38
2026-01-07 12:45:39.579000+00:00,2026-01-07 12:45:37.189815+00:00,39.579,0.575,0.57,0.58,0.415,0.41,0.42,165.0,35.0,198.68,20.0,0.56,343.0,0.59,198.68,0.55,218.85,0.6,210.0,0.54,308.0,0.61,215.0,0.53,2516.0,0.62,411.1,0.52,1540.38,0.63,358.0,0.4,230.0,0.43,165.0,0.39,215.0,0.44,343.0,0.38,411.1,0.45,218.85,0.37,358.0,0.46,308.0,0.36,273.0,0.47,2516.0
2026-01-07 12:45:40.300000+00:00,2026-01-07 12:45:38.196550+00:00,40.3,0.585,0.58,0.59,0.415,0.41,0.42,20.0,198.68,198.68,20.0,0.57,205.0,0.6,230.0,0.56,303.0,0.61,215.0,0.55,218.85,0.62,411.1,0.54,308.0,0.63,358.0,0.53,2516.0,0.64,273.0,0.4,230.0,0.43,210.0,0.39,215.0,0.44,303.0,0.38,411.1,0.45,218.85,0.37,358.0,0.46,308.0,0.36,273.0,0.47,2516.0
2026-01-07 12:45:41.345000+00:00,2026-01-07 12:45:39.203713+00:00,41.345,0.575,0.57,0.58,0.425,0.42,0.43,25.0,150.0,60.0,110.0,0.56,388.0,0.59,238.68,0.55,213.85,0.6,190.0,0.54,308.0,0.61,195.0,0.53,2516.0,0.62,411.1,0.52,1485.38,0.63,358.0,0.41,258.68,0.44,368.0,0.4,190.0,0.45,213.85,0.39,195.0,0.46,308.0,0.38,411.1,0.47,2516.0,0.37,358.0,0.48,1485.38
2026-01-07 12:45:42.437000+00:00,2026-01-07 12:45:40.208633+00:00,42.437,0.575,0.57,0.58,0.425,0.42,0.43,20.0,143.0,143.0,20.0,0.56,403.0,0.59,677.68,0.55,203.85,0.6,202.0,0.54,308.0,0.61,205.0,0.53,2516.0,0.62,411.1,0.52,1485.38,0.63,358.0,0.41,677.68,0.44,403.0,0.4,202.0,0.45,203.85,0.39,205.0,0.46,308.0,0.38,411.1,0.47,2516.0,0.37,358.0,0.48,1485.38
2026-01-07 12:45:43.360000+00:00,2026-01-07 12:45:41.229810+00:00,43.36,0.575,0.57,0.58,0.425,0.42,0.43,140.0,31.0,31.0,140.0,0.56,358.0,0.59,647.68,0.55,193.85,0.6,242.0,0.54,308.0,0.61,215.0,0.53,2516.0,0.62,411.1,0.52,1533.38,0.63,358.0,0.41,647.68,0.44,358.0,0.4,242.0,0.45,193.85,0.39,215.0,0.46,308.0,0.38,411.1,0.47,2516.0,0.37,358.0,0.48,1533.38
2026-01-07 12:45:44.548000+00:00,2026-01-07 12:45:42.236846+00:00,44.548,0.565,0.56,0.57,0.435,0.43,0.44,368.0,70.0,70.0,368.0,0.55,233.85,0.58,191.0,0.54,238.0,0.59,634.0,0.53,2446.0,0.6,222.0,0.52,1485.38,0.61,195.0,0.51,571.81,0.62,411.1,0.42,191.0,0.45,233.85,0.41,634.0,0.46,238.0,0.4,222.0,0.47,2446.0,0.39,195.0,0.48,1485.38,0.38,411.1,0.49,571.81
2026-01-07 12:45:45.574000+00:00,2026-01-07 12:45:43.245005+00:00,45.574,0.565,0.56,0.57,0.435,0.43,0.44,328.0,70.0,60.0,338.0,0.55,233.85,0.58,191.0,0.54,238.0,0.59,594.0,0.53,2446.0,0.6,246.6,0.52,1485.38,0.61,195.0,0.51,571.81,0.62,378.0,0.42,231.0,0.45,263.85,0.41,594.0,0.46,238.0,0.4,256.6,0.47,2446.0,0.39,195.0,0.48,1485.38,0.38,378.0,0.49,571.81
2026-01-07 12:45:46.544000+00:00,2026-01-07 12:45:44.252755+00:00,46.544,0.575,0.57,0.58,0.425,0.42,0.43,20.0,197.86,197.86,20.0,0.56,338.0,0.59,604.0,0.55,253.85,0.6,244.6,0.54,238.0,0.61,195.0,0.53,2446.0,0.62,378.0,0.52,1485.38,0.63,358.0,0.41,604.0,0.44,338.0,0.4,244.6,0.45,260.1,0.39,195.0,0.46,238.0,0.38,378.0,0.47,2446.0,0.37,363.0,0.48,1485.38
2026-01-07 12:45:47.651000+00:00,2026-01-07 12:45:45.261691+00:00,47.651,0.58,0.57,0.59,0.415,0.41,0.42,210.0,559.0,449.0,145.0,0.56,328.0,0.6,180.0,0.55,193.85,0.61,257.8,0.54,238.0,0.62,378.0,0.53,2446.0,0.63,358.0,0.52,1485.38,0.64,273.0,0.4,55.0,0.43,232.0,0.39,122.8,0.44,273.0,0.38,438.0,0.45,183.85,0.37,388.0,0.46,273.0,0.36,318.0,0.47,2481.0
2026-01-07 12:45:48.578000+00:00,2026-01-07 12:45:46.267086+00:00,48.578,0.635,0.63,0.64,0.355,0.35,0.36,348.0,5.0,246.29,142.0,0.62,343.0,0.65,246.29,0.61,302.87,0.66,225.0,0.6,308.0,0.67,161.0,0.59,737.0,0.68,155.62,0.58,343.0,0.69,293.0,0.34,225.0,0.37,348.0,0.33,161.0,0.38,343.0,0.32,155.62,0.39,302.87,0.31,293.0,0.4,308.0,0.3,213.0,0.41,737.0
2026-01-07 12:45:49.609000+00:00,2026-01-07 12:45:47.274948+00:00,49.609,0.645,0.64,0.65,0.355,0.35,0.36,313.0,156.29,156.29,313.0,0.63,348.0,0.66,225.0,0.62,323.0,0.67,171.0,0.61,302.87,0.68,165.62,0.6,308.0,0.69,293.0,0.59,737.0,0.7,213.0,0.34,225.0,0.37,348.0,0.33,171.0,0.38,323.0,0.32,165.62,0.39,302.87,0.31,293.0,0.4,308.0,0.3,213.0,0.41,737.0
2026-01-07 12:45:50.652000+00:00,2026-01-07 12:45:48.279236+00:00,50.652,0.645,0.64,0.65,0.355,0.35,0.36,318.0,136.29,136.29,338.0,0.63,378.0,0.66,276.5,0.62,293.0,0.67,151.0,0.61,302.87,0.68,165.62,0.6,308.0,0.69,293.0,0.59,737.0,0.7,288.0,0.34,276.5,0.37,378.0,0.33,151.0,0.38,293.0,0.32,165.62,0.39,302.87,0.31,293.0,0.4,308.0,0.3,288.0,0.41,807.0
2026-01-07 12:45:51.667000+00:00,2026-01-07 12:45:49.286536+00:00,51.667,0.695,0.69,0.7,0.305,0.3,0.31,209.38,105.0,105.0,212.18,0.68,55.0,0.71,75.0,0.67,574.0,0.72,105.0,0.66,327.0,0.73,285.0,0.65,285.0,0.74,431.0,0.64,358.0,0.75,303.0,0.29,75.0,0.32,40.0,0.28,105.0,0.33,574.0,0.27,195.0,0.34,388.0,0.26,431.0,0.35,351.0,0.25,303.0,0.36,423.0
2026-01-07 12:45:52.680000+00:00,2026-01-07 12:45:50.307169+00:00,52.68,0.735,0.73,0.74,0.265,0.26,0.27,35.0,623.04,644.04,35.0,0.72,120.0,0.75,70.0,0.71,135.0,0.76,248.8,0.7,171.0,0.77,193.0,0.69,637.18,0.78,249.8,0.68,88.06,0.79,248.0,0.25,70.0,0.28,120.0,0.24,248.8,0.29,125.0,0.23,193.0,0.3,145.0,0.22,249.8,0.31,703.18,0.21,248.0,0.32,88.06
2026-01-07 12:45:53.563000+00:00,2026-01-07 12:45:51.310834+00:00,53.563,0.735,0.73,0.74,0.265,0.26,0.27,34.95,592.22,592.22,34.95,0.72,120.0,0.75,70.0,0.71,200.0,0.76,248.8,0.7,185.0,0.77,193.0,0.69,668.18,0.78,249.8,0.68,88.06,0.79,318.0,0.25,70.0,0.28,120.0,0.24,248.8,0.29,200.0,0.23,193.0,0.3,185.0,0.22,249.8,0.31,668.18,0.21,318.0,0.32,88.06
2026-01-07 12:45:54.650000+00:00,2026-01-07 12:45:52.315651+00:00,54.65,0.735,0.73,0.74,0.265,0.26,0.27,20.0,582.22,582.22,25.0,0.72,155.0,0.75,115.0,0.71,205.0,0.76,223.8,0.7,135.0,0.77,218.0,0.69,668.18,0.78,249.8,0.68,123.06,0.79,318.0,0.25,115.0,0.28,155.0,0.24,223.8,0.29,205.0,0.23,218.0,0.3,135.0,0.22,249.8,0.31,668.18,0.21,318.0,0.32,123.06
2026-01-07 12:45:55.383000+00:00,2026-01-07 12:45:53.321008+00:00,55.383,0.735,0.73,0.74,0.265,0.26,0.27,25.0,542.22,542.22,20.0,0.72,175.0,0.75,175.0,0.71,225.0,0.76,233.8,0.7,125.0,0.77,218.0,0.69,632.18,0.78,249.8,0.68,160.06,0.79,318.0,0.25,245.0,0.28,175.0,0.24,303.8,0.29,225.0,0.23,288.0,0.3,125.0,0.22,319.8,0.31,702.18,0.21,318.0,0.32,230.06
2026-01-07 12:45:56.688000+00:00,2026-01-07 12:45:54.327142+00:00,56.688,0.735,0.73,0.74,0.265,0.26,0.27,12.59,420.77,420.77,12.59,0.72,195.0,0.75,245.0,0.71,205.0,0.76,303.8,0.7,125.0,0.77,288.0,0.69,702.18,0.78,319.8,0.68,230.06,0.79,318.0,0.25,245.0,0.28,195.0,0.24,303.8,0.29,205.0,0.23,288.0,0.3,125.0,0.22,319.8,0.31,707.18,0.21,318.0,0.32,230.06
