timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:20:26.984000+00:00,1767669626984,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.67,0.66,0.68,1,2026-01-06 03:20:27.246281+00:00
2026-01-06T03:20:28.245000+00:00,1767669628245,XRP,xrp-updown-15m-1767669300,0.35,0.34,0.36,0.65,0.64,0.66,1,2026-01-06 03:20:28.264397+00:00
2026-01-06T03:20:29.166000+00:00,1767669629166,XRP,xrp-updown-15m-1767669300,0.35,0.34,0.36,0.65,0.64,0.66,1,2026-01-06 03:20:29.268525+00:00
2026-01-06T03:20:30.033000+00:00,1767669630033,XRP,xrp-updown-15m-1767669300,0.35,0.34,0.36,0.65,0.64,0.66,1,2026-01-06 03:20:30.615931+00:00
2026-01-06T03:20:31.600000+00:00,1767669631600,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.675,0.67,0.68,1,2026-01-06 03:20:31.623821+00:00
2026-01-06T03:20:32.675000+00:00,1767669632675,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.67,0.66,0.68,1,2026-01-06 03:20:32.720529+00:00
2026-01-06T03:20:33.511000+00:00,1767669633511,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.67,0.66,0.68,1,2026-01-06 03:20:33.718690+00:00
2026-01-06T03:20:34.599000+00:00,1767669634599,XRP,xrp-updown-15m-1767669300,0.32,0.31,0.33,0.6799999999999999,0.67,0.69,1,2026-01-06 03:20:34.736116+00:00
2026-01-06T03:20:35.744000+00:00,1767669635744,XRP,xrp-updown-15m-1767669300,0.29000000000000004,0.28,0.3,0.71,0.7,0.72,1,2026-01-06 03:20:35.752299+00:00
2026-01-06T03:20:36.762000+00:00,1767669636762,XRP,xrp-updown-15m-1767669300,0.29000000000000004,0.28,0.3,0.71,0.7,0.72,1,2026-01-06 03:20:36.892919+00:00
2026-01-06T03:20:37.818000+00:00,1767669637818,XRP,xrp-updown-15m-1767669300,0.295,0.29,0.3,0.705,0.7,0.71,1,2026-01-06 03:20:37.949056+00:00
2026-01-06T03:20:39.189000+00:00,1767669639189,XRP,xrp-updown-15m-1767669300,0.29000000000000004,0.28,0.3,0.71,0.7,0.72,1,2026-01-06 03:20:39.231143+00:00
2026-01-06T03:20:40.063000+00:00,1767669640063,XRP,xrp-updown-15m-1767669300,0.27,0.26,0.28,0.73,0.72,0.74,1,2026-01-06 03:20:40.248299+00:00
2026-01-06T03:20:41.238000+00:00,1767669641238,XRP,xrp-updown-15m-1767669300,0.265,0.26,0.27,0.735,0.73,0.74,1,2026-01-06 03:20:41.261505+00:00
2026-01-06T03:20:42.181000+00:00,1767669642181,XRP,xrp-updown-15m-1767669300,0.24,0.23,0.25,0.765,0.76,0.77,1,2026-01-06 03:20:42.263616+00:00
2026-01-06T03:20:43.202000+00:00,1767669643202,XRP,xrp-updown-15m-1767669300,0.235,0.23,0.24,0.78,0.77,0.79,1,2026-01-06 03:20:43.271973+00:00
2026-01-06T03:20:44.166000+00:00,1767669644166,XRP,xrp-updown-15m-1767669300,0.225,0.22,0.23,0.775,0.77,0.78,1,2026-01-06 03:20:44.407551+00:00
2026-01-06T03:20:45.003000+00:00,1767669645003,XRP,xrp-updown-15m-1767669300,0.22999999999999998,0.22,0.24,0.77,0.76,0.78,1,2026-01-06 03:20:45.417637+00:00
2026-01-06T03:20:46.439000+00:00,1767669646439,XRP,xrp-updown-15m-1767669300,0.26,0.25,0.27,0.75,0.74,0.76,1,2026-01-06 03:20:46.449682+00:00
